地区,2024年,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,14092.4,14485.9,13818.7,14897.3,13740.3,15072.4,14422.3,13933.7,13134.9,12271.9,9638,8872.1,8123.5,7222.2,6340.3,5309.9,4645.5,3835.2,3295.3,2911.7
天津市,4128.3,4261.7,3900.1,4029.3,3747.1,4312.5,4231.2,4210.4,4188.1,3963.2,4738.7,4470.4,3921.4,3395.1,2860.2,2430.8,2078.7,1650.6,1383.1,1201.6
河北省,14657.4,13895.6,12884.3,12896.3,12322.5,12784.8,11973.9,11138.5,10191.4,9367.5,11820.5,10516.7,9254,8035.5,6821.8,5764.9,4991.1,4053.8,3435.7,2969.5
山西省,7670.9,7486.6,7188.5,7462.8,6582.9,6942.8,6523.3,6058.5,5699.2,5345.1,5717.9,5139.3,4506.8,3903.4,3318.2,2809,2421.1,1953.3,1635.4,1410.7
内蒙古自治区,5152.9,4933,4644.3,4811.7,4605.1,4966.6,4852.3,4642.6,4415.9,4103.5,5657.6,5114.2,4572.5,3991.7,3384,2855.3,2463,1964,1628.6,1358.1
辽宁省,10228.9,9836.5,9142.2,9492.8,8785.9,9572.9,9112.8,8696.4,8597.1,8364.8,11857,10581.4,9304.2,8095.3,6887.6,5812.6,5032.4,4097.8,3471.6,3014.4
吉林省,4232.1,4089.9,3765.1,4183.9,3805.7,4201.6,4073.8,3992.3,3812.9,3571.7,6080.9,5426.4,4772.9,4119.8,3504.9,2957.3,2549.2,2038.3,1697.6,1470.3
黑龙江省,5445.7,5346.8,4998.7,5376.9,4992.2,5546.9,5275,5077.4,4794.1,4471,7015.3,6251.2,5491,4750.1,4039.2,3401.8,2928.3,2386.2,2029,1773.8
上海市,15872.3,16385.8,14918.2,16818.3,15189.2,15469,14874.8,13699.5,12588.2,11605.7,9303.5,8557,7840.4,7185.8,6186.6,5173.2,4577.2,3873.3,3375.2,2979.5
江苏省,44922.1,42940.6,40803,41261.1,36261.8,37240.6,35472.6,32818.2,29612.5,26710.1,23458.1,20878.2,18411.1,16058.3,13606.3,11484.1,9905.1,7985.9,6706.2,5735.5
浙江省,37707.7,36267.9,33236.8,31200.7,27837.7,27948.8,25161.9,23121.3,20916.7,18910.7,17835.3,15970.8,14199.6,12532.8,10387,8622.3,7533.3,6271.3,5358,4645.9
安徽省,22908.4,21887.7,20685.9,20858.8,17991.2,17689.2,16156.2,14328.8,12662.5,11190.8,7957,7044.7,6142.8,5288.2,4300.5,3527.8,3045.2,2451.9,2056.5,1776.7
福建省,24370.8,23348.6,21999.4,21072.2,19058.1,19108.9,17178.4,15393.9,13703,12273,9346.7,8275.3,7256.5,6276.2,5310,4481,3866.7,3212.3,2717.6,2351.7
江西省,12821.7,12223.1,11765.8,11431,9931.7,9849.3,9045.7,8118,7198.5,6419.8,5292.6,4696.1,4123.3,3560.5,2971,2484.4,2142,1718.9,1448.2,1244.9
山东省,40059.2,38152.6,34724.3,34863.4,29921.2,29577.3,27480.3,25527.9,23482.1,21550.9,25111.5,22294.8,19651.9,17155.5,14620.3,12363,10658.8,8607.5,7217.1,6166.9
河南省,27560.4,25977.4,24399,24391.4,22518.1,23477.2,21268,19289.1,17274.5,15475.8,14005,12426.6,10915.6,9453.6,8004.2,6746.4,5815.4,4690.3,3932.6,3380.9
湖北省,27206.2,25884.2,23524.9,22561.1,18544.3,23066.2,20598.2,18519.7,16601.9,14847.9,12449.3,11035.9,9682.4,8363.3,7014.4,5928.4,5109.7,4115.8,3461.1,2985.9
湖南省,20463.9,19415.5,18463,18176.8,16019.1,16555.9,15134.3,13793.7,12500,11241.4,10723.5,9509.5,8318.7,7209,5952.6,4913.7,4222.6,3419.2,2869.4,2474.3
广东省,45029.2,44685.9,42762.9,42641.8,39278.2,42438.4,39767.1,36598.6,33303.2,30326.8,28471.1,25453.9,22677.1,20297.5,17458.4,14891.8,12986.6,10731.3,9194.3,7915.5
广西壮族自治区,8151.7,8021.8,8042,8168.3,7606.1,8079.9,7663.5,7038,6349.8,5771.5,5772.8,5133.1,4516.6,3908.2,3312,2790.7,2395.8,1932.7,1620.3,1405.5
海南省,2546.1,2658.7,2375.4,2587.2,2022.4,1974,1852.7,1729.4,1547.3,1409.4,1224.5,1090.9,950.2,822.5,663.8,537.5,463.2,370.9,313.4,270.8
重庆市,16190.4,15629.6,14299.6,14257,11954.4,11710.5,10705.2,9769.4,8728.4,7667.6,5710.7,5055.8,4403,3782.3,3051.1,2479,2147.1,1711.1,1431.5,1227.8
四川省,27709.8,26603.6,24328.9,24317.4,20939.4,21395.4,19340.7,17404.4,15519.7,13834.4,12393,11001,9622,8290.8,6884.8,5758.7,4944.8,4105.6,3472.5,3003.5
贵州省,9211.5,8887.1,8417.4,8839.5,7798.6,7449.4,7105,6449.4,5651.9,4925.2,2936.9,2601.2,2266.3,1899.9,1531.6,1247.3,1075.2,858.2,710,615.7
云南省,12490.8,12141.6,11277.9,11063.5,9997.8,10260.9,9197.3,8194.8,7222.7,6390.8,4632.9,4112.6,3597.9,3105.9,2555.8,2051.1,1764.7,1422.5,1204.8,1041.3
西藏自治区,1032.8,963.4,781.6,856.6,774.2,787.8,711.8,618.8,539.1,477.1,364.5,322.2,277.9,237.5,192.4,156.6,130,112.6,90,73.2
陕西省,10936,10439.3,10158.5,10076.9,9501.1,10154.2,9510.3,8611.2,7680.7,6859.1,5918.7,5245,4581.6,3900.6,3257.5,2699.7,2317.1,1837.3,1542.4,1331.3
甘肃省,4133.2,3972.3,3662.8,3837.7,3513.2,3638,3435.6,3206.2,2984.2,2737.1,2668.3,2368.8,2064.4,1772.9,1435.5,1183,1023.6,854.4,729.5,638.1
青海省,1028.3,1035.3,874.8,976,895,957.7,899.9,842.9,769.9,694.6,620.8,549.6,480.3,413.4,351,300.5,259.7,212.6,182.6,161.6
宁夏回族自治区,1418.8,1351.7,1336.6,1334.6,1301.6,1399.1,1330.1,1253.7,1130.6,1039.8,737.2,668.5,590.5,515.5,418.5,339.3,295.4,239.5,202.5,175.8
新疆维吾尔自治区,3965,3888.5,3268.2,3610,3078.3,3625.2,3429.1,3249.8,3005.2,2769.6,2436.5,2179.5,1916.1,1662.4,1386.1,1177.5,1041.5,857.5,733.2,640.2
